class;jar
com/fasterxml/jackson/annotation/JsonAutoDetect$1;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonAutoDetect$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonBackReference;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonClassDescription;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonCreator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonCreator$Mode;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonDeserializeAs;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonEnumDefaultValue;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFilter;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFormat;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFormat$Feature;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFormat$Features;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFormat$Shape;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonFormat$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonGetter;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIdentityInfo;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIdentityReference;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIgnore;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIgnoreProperties;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIgnoreProperties$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIgnoreType;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonInclude;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonInclude$Include;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonInclude$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIncludeProperties;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonIncludeProperties$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonKey;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonManagedReference;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonMerge;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonProperty;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonProperty$Access;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonPropertyDescription;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonPropertyOrder;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonRawValue;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonRootName;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonSerializeAs;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonSetter;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonSetter$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonSubTypes;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonSubTypes$Type;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeId;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeInfo;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeInfo$As;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeInfo$Id;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeInfo$None;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeInfo$Value;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonTypeName;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonUnwrapped;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonValue;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/JsonView;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/Nulls;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerator$IdKey;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$Base;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$IntSequenceGenerator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$None;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$PropertyGenerator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$StringIdGenerator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdGenerators$UUIDGenerator;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/ObjectIdResolver;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/OptBoolean;jackson-annotations-2.21.jar
com/fasterxml/jackson/annotation/PropertyAccessor;jackson-annotations-2.21.jar
